"siteID"	"xcoord"	"ycoord"	"wgt"	"Lake_Origin"	"Chla"	"OE5"	"PTL"	"NTL"	"Turbidity"	"Chla_cond"	"OE5_cond"	"PTL_cond"	"NTL_cond"	"Turbidity_cond"
"NLA06608-1793"	-1546674.4572307	2893263.995926	4.035550348	"Natural"	5.448	1.172722	9	139	1.51	"Poor"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1810"	-1328943.75381271	2153798.95016455	2.500256737	"Man-Made"	14.8	0.608502	69	611	15.3	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1818"	-1092572.58394798	2292122.23097509	9.832508096	"Natural"	0.68	1.013763	7	90	5.47	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1857"	-1350052.57322208	2934392.70051157	8.362490243	"Natural"	1.248	0.750729	1	198	0.823	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1862"	-1889455.1778819	2334679.11625266	1.036696107	"Man-Made"	7.6	0.682883	520	1058	125	"Good"	"Good"	"Good"	"Poor"	"Poor"
"NLA06608-1866"	-1044100.2675408	2495030.81618108	37.39536949	"Man-Made"	4.357	0.931732	11	232	0.733	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-1873"	-2039498.50885472	3016234.3952927	8.741017273	"Natural"	0.464	0.599958	1	37	0.446	"Good"	"Poor"	"Good"	"Good"	"Good"
"NLA06608-1874"	-1281459.00121491	2098160.3855114	2.500256737	"Man-Made"	3.56	1.324507	26	374	3.68	"Poor"	"Good"	"Good"	"Poor"	"Good"
"NLA06608-1893"	-1740646.8085558	2238870.24119128	1.036696107	"Man-Made"	6.94	0.57446	302	581	76.1	"Good"	"Poor"	"Good"	"Poor"	"Poor"
"NLA06608-1894"	-2031601.59030058	2614180.03848052	10.83066738	"Natural"	0.446	1.001841	36	162	1.5	"Good"	"Good"	"Good"	"Poor"	"Good"
